original_path,archived_path,compatibility_score,raw_classification,classification,secret_risk,target_layer,target_stage,micro_pyramid_band,required_adaptation,estimated_effort,risk_level,recommended_action,blocked,block_reason
server/services/agent-marketplace-clone-service.ts,archive/legacy-codebase/20260529-1150/source/server/services/agent-marketplace-clone-service.ts,0.83,adapt_candidate,adapt_candidate,none,stage5_micro_pyramid,stage_5_micro_pyramid,marketplace_product,wrapper or interface adaptation required,medium,P3,adapt through wrapper or focused refactor,False,
client/src/pages/admin/omni-channel-audience/RiskSignalRulesCard.tsx,archive/legacy-codebase/20260529-1150/source/client/src/pages/admin/omni-channel-audience/RiskSignalRulesCard.tsx,0.755,adapt_candidate,adapt_candidate,none,admin_governance,admin_governance,,wrapper or interface adaptation required,medium_high,P2,adapt through wrapper or focused refactor,False,
server/services/audience-risk-signal-rules-service.ts,archive/legacy-codebase/20260529-1150/source/server/services/audience-risk-signal-rules-service.ts,0.755,adapt_candidate,adapt_candidate,none,admin_governance,admin_governance,,wrapper or interface adaptation required,medium_high,P2,adapt through wrapper or focused refactor,False,
tests/audience-audit-export-risk-signals.test.ts,archive/legacy-codebase/20260529-1150/source/tests/audience-audit-export-risk-signals.test.ts,0.692,adapt_candidate,adapt_candidate,none,cross_cutting,cross_cutting_signal_culture,,wrapper or interface adaptation required,low,P3,adapt through wrapper or focused refactor,False,
tests/audience-risk-signal-rules.test.ts,archive/legacy-codebase/20260529-1150/source/tests/audience-risk-signal-rules.test.ts,0.692,adapt_candidate,adapt_candidate,none,cross_cutting,cross_cutting_signal_culture,,wrapper or interface adaptation required,low,P3,adapt through wrapper or focused refactor,False,
tests/safety/shorts.test.ts,archive/legacy-codebase/20260529-1150/source/tests/safety/shorts.test.ts,0.68,reference_only,adapt_candidate,none,stage5_micro_pyramid,stage_5_micro_pyramid,community,rewrite implementation using concept only,medium,P3,use as reference only,False,
server/services/agent-graph-access-service.ts,archive/legacy-codebase/20260529-1150/source/server/services/agent-graph-access-service.ts,0.667,adapt_candidate,adapt_candidate,none,stage5_micro_pyramid,stage_5_micro_pyramid,marketplace_product,wrapper or interface adaptation required,medium,P3,adapt through wrapper or focused refactor,False,
server/services/agent-orchestrator.ts,archive/legacy-codebase/20260529-1150/source/server/services/agent-orchestrator.ts,0.667,adapt_candidate,adapt_candidate,none,stage5_micro_pyramid,stage_5_micro_pyramid,reputation_gluon,wrapper or interface adaptation required,medium,P3,adapt through wrapper or focused refactor,False,
server/services/agent-service.ts,archive/legacy-codebase/20260529-1150/source/server/services/agent-service.ts,0.667,adapt_candidate,adapt_candidate,none,stage5_micro_pyramid,stage_5_micro_pyramid,reputation_gluon,wrapper or interface adaptation required,medium,P3,adapt through wrapper or focused refactor,False,
server/services/agent-trust-engine.ts,archive/legacy-codebase/20260529-1150/source/server/services/agent-trust-engine.ts,0.667,adapt_candidate,adapt_candidate,none,stage5_micro_pyramid,stage_5_micro_pyramid,marketplace_product,wrapper or interface adaptation required,medium,P3,adapt through wrapper or focused refactor,False,
